prediction_id,feedback_timestamp,verdict
pred_000003,2025-09-29T01:16:00,legit
pred_000006,2025-09-16T02:37:00,legit
pred_000007,2025-09-21T04:29:00,legit
pred_000009,2025-09-23T04:40:00,legit
pred_000016,2025-09-29T06:56:00,legit
pred_000019,2025-09-19T07:04:00,legit
pred_000022,2025-09-28T08:23:00,legit
pred_000027,2025-09-28T11:11:00,legit
pred_000029,2025-09-30T11:43:00,legit
pred_000031,2025-09-13T12:21:00,legit
pred_000033,2025-09-24T12:44:00,legit
pred_000036,2025-09-22T16:23:00,legit
pred_000041,2025-09-18T17:41:00,legit
pred_000044,2025-09-27T18:26:00,legit
pred_000045,2025-09-19T19:16:00,unclear
pred_000047,2025-09-12T19:24:00,legit
pred_000048,2025-09-13T19:51:00,legit
pred_000052,2025-09-29T20:49:00,legit
pred_000053,2025-09-15T21:24:00,fraud
pred_000056,2025-09-20T22:50:00,legit
pred_000060,2025-09-09T01:06:00,legit
pred_000061,2025-09-09T01:13:00,legit
pred_000062,2025-09-15T01:28:00,unclear
pred_000064,2025-09-19T02:09:00,legit
pred_000065,2025-09-09T02:48:00,legit
pred_000069,2025-09-19T03:28:00,legit
pred_000070,2025-09-12T04:38:00,legit
pred_000071,2025-09-13T05:05:00,legit
pred_000073,2025-09-14T05:34:00,legit
pred_000076,2025-09-18T06:17:00,legit
pred_000078,2025-09-23T06:49:00,legit
pred_000081,2025-09-21T08:33:00,legit
pred_000082,2025-10-02T08:37:00,legit
pred_000083,2025-09-15T08:41:00,legit
pred_000085,2025-09-28T09:11:00,legit
pred_000090,2025-09-20T10:30:00,legit
pred_000095,2025-09-19T12:45:00,legit
pred_000097,2025-10-02T13:52:00,legit
pred_000104,2025-09-28T17:04:00,legit
pred_000105,2025-09-09T17:10:00,legit
pred_000109,2025-09-25T18:21:00,legit
pred_000112,2025-09-26T18:56:00,legit
pred_000114,2025-09-25T19:43:00,unclear
pred_000117,2025-09-19T20:29:00,legit
pred_000119,2025-09-15T21:42:00,legit
pred_000125,2025-09-14T00:36:00,unclear
pred_000126,2025-09-12T00:54:00,legit
pred_000129,2025-10-01T03:36:00,legit
pred_000134,2025-09-16T05:20:00,legit
pred_000136,2025-09-27T06:09:00,legit
pred_000137,2025-09-24T06:25:00,legit
pred_000138,2025-09-16T06:56:00,legit
pred_000140,2025-09-21T07:42:00,legit
pred_000142,2025-09-19T08:51:00,legit
pred_000143,2025-09-23T09:08:00,legit
pred_000144,2025-09-20T09:39:00,legit
pred_000147,2025-09-12T11:56:00,legit
pred_000151,2025-09-23T12:36:00,legit
pred_000152,2025-09-27T12:53:00,legit
pred_000158,2025-09-26T16:52:00,legit
pred_000161,2025-09-15T17:33:00,legit
pred_000164,2025-09-10T19:25:00,legit
pred_000169,2025-09-27T22:19:00,legit
pred_000174,2025-09-25T23:19:00,legit
pred_000176,2025-10-02T23:26:00,legit
pred_000180,2025-10-04T01:14:00,legit
pred_000183,2025-09-15T02:15:00,legit
pred_000186,2025-09-26T03:57:00,legit
pred_000188,2025-09-18T04:04:00,legit
pred_000189,2025-09-15T04:06:00,legit
pred_000195,2025-10-03T06:05:00,legit
pred_000201,2025-09-23T08:53:00,legit
pred_000203,2025-10-01T10:06:00,legit
pred_000204,2025-09-29T10:12:00,fraud
pred_000205,2025-10-03T10:38:00,legit
pred_000207,2025-09-30T11:26:00,legit
pred_000208,2025-09-14T12:12:00,legit
pred_000210,2025-09-14T12:40:00,legit
pred_000214,2025-09-15T13:57:00,legit
pred_000215,2025-09-25T14:20:00,legit
pred_000216,2025-09-28T15:32:00,legit
pred_000221,2025-09-13T18:55:00,legit
pred_000222,2025-10-01T18:57:00,legit
pred_000223,2025-09-13T19:28:00,legit
pred_000228,2025-09-12T21:29:00,legit
pred_000230,2025-09-15T22:33:00,legit
pred_000231,2025-09-16T22:50:00,fraud
pred_000232,2025-10-03T22:54:00,legit
pred_000237,2025-09-18T01:31:00,fraud
pred_000239,2025-09-28T02:01:00,unclear
pred_000240,2025-10-03T02:35:00,fraud
pred_000241,2025-10-04T02:36:00,legit
pred_000242,2025-10-02T02:59:00,legit
pred_000243,2025-09-19T03:05:00,legit
pred_000244,2025-09-24T03:06:00,legit
pred_000245,2025-09-29T03:22:00,legit
pred_000250,2025-09-25T04:46:00,legit
pred_000251,2025-09-18T05:38:00,legit
pred_000258,2025-09-20T10:51:00,legit
pred_000261,2025-10-05T11:16:00,legit
pred_000262,2025-09-20T11:36:00,legit
pred_000264,2025-09-27T12:11:00,legit
pred_000267,2025-09-21T13:31:00,legit
pred_000269,2025-10-02T13:43:00,legit
pred_000273,2025-09-19T14:57:00,legit
pred_000275,2025-10-01T16:48:00,legit
pred_000276,2025-09-12T16:52:00,legit
pred_000278,2025-09-22T17:09:00,legit
pred_000282,2025-09-15T17:59:00,legit
pred_000284,2025-09-12T19:06:00,legit
pred_000285,2025-09-15T19:21:00,legit
pred_000286,2025-09-16T19:40:00,legit
pred_000287,2025-10-05T21:20:00,legit
pred_000288,2025-09-30T21:42:00,legit
pred_000289,2025-09-19T22:19:00,legit
pred_000290,2025-09-16T22:24:00,legit
pred_000291,2025-09-25T22:26:00,legit
pred_000294,2025-09-21T23:00:00,legit
pred_000295,2025-09-22T23:19:00,legit
pred_000298,2025-10-01T00:46:00,legit
pred_000300,2025-09-30T01:38:00,legit
pred_000302,2025-09-21T02:29:00,legit
pred_000303,2025-10-04T02:35:00,legit
pred_000304,2025-09-20T02:37:00,legit
pred_000305,2025-09-18T03:00:00,legit
pred_000307,2025-09-25T03:26:00,legit
pred_000309,2025-09-21T03:45:00,legit
pred_000310,2025-10-04T04:03:00,legit
pred_000311,2025-09-15T04:48:00,legit
pred_000312,2025-09-30T05:21:00,legit
pred_000316,2025-10-05T07:26:00,legit
pred_000320,2025-09-14T08:19:00,legit
pred_000325,2025-09-21T09:12:00,legit
pred_000326,2025-10-05T09:30:00,legit
pred_000331,2025-09-16T11:52:00,legit
pred_000336,2025-09-25T13:15:00,legit
pred_000337,2025-09-17T13:34:00,fraud
pred_000343,2025-09-17T16:08:00,legit
pred_000346,2025-09-20T16:50:00,legit
pred_000348,2025-10-04T17:47:00,legit
pred_000352,2025-09-29T19:00:00,legit
pred_000353,2025-09-24T19:11:00,legit
pred_000354,2025-09-23T20:26:00,legit
pred_000355,2025-09-24T21:03:00,legit
pred_000357,2025-09-16T22:06:00,legit
pred_000360,2025-09-29T22:23:00,legit
pred_000361,2025-09-25T22:33:00,legit
pred_000362,2025-10-01T22:42:00,legit
pred_000368,2025-10-05T00:00:00,legit
pred_000369,2025-09-23T00:06:00,legit
pred_000370,2025-09-28T00:11:00,legit
pred_000371,2025-09-17T00:19:00,fraud
pred_000372,2025-10-03T00:24:00,legit
pred_000374,2025-10-01T00:49:00,legit
pred_000375,2025-09-20T01:35:00,legit
pred_000380,2025-09-15T03:51:00,legit
pred_000383,2025-09-15T04:18:00,legit
pred_000385,2025-09-29T04:42:00,legit
pred_000386,2025-09-16T05:00:00,unclear
pred_000388,2025-09-19T05:34:00,legit
pred_000393,2025-09-28T06:56:00,legit
pred_000396,2025-10-03T07:34:00,legit
pred_000397,2025-09-15T07:37:00,unclear
pred_000399,2025-09-14T08:13:00,legit
pred_000401,2025-09-14T08:51:00,legit
pred_000403,2025-09-22T09:11:00,legit
